"id","printer_id","color","head","slot_serial","installed_datetime","replaced_datetime","remounted_datetime","remounted_color","remounted_head"
7509,473,0,"1","243696-03","2020-01-02 06:10:00+01","2021-06-16 23:28:49+02",NULL,NULL,NULL
7530,473,1,"1","261585-02","2019-04-09 09:46:18+02","2020-10-21 16:07:44+02",NULL,NULL,NULL
7525,473,1,"6","261344-04","2019-04-09 09:46:18+02","2020-09-09 14:31:09+02",NULL,NULL,NULL
7517,473,3,"0","261654-10","2019-07-02 13:57:17+02","2020-06-18 09:35:09+02",NULL,NULL,NULL
7498,473,3,"0","272670-02","2020-06-18 09:35:09+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
40018,473,3,"0","271450-02","2021-02-03 12:55:27+01","2022-02-08 14:27:03+01",NULL,NULL,NULL
7523,473,3,"1","261367-09","2019-07-02 13:57:15+02","2020-06-17 14:10:01+02",NULL,NULL,NULL
7500,473,3,"1","273174-04","2020-06-17 14:10:01+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
40017,473,3,"1","275330-08","2021-02-03 12:55:27+01","2022-02-08 14:26:55+01",NULL,NULL,NULL
7522,473,3,"2","261983-08","2019-07-02 13:57:15+02","2020-06-17 14:09:35+02",NULL,NULL,NULL
7502,473,3,"2","273475-02","2020-06-17 14:09:35+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
40016,473,3,"2","275540-05","2021-02-03 12:55:27+01","2022-02-08 14:26:58+01",NULL,NULL,NULL
7521,473,3,"3","260864-03","2019-07-02 13:57:15+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
40015,473,3,"3","276133-08","2021-02-03 12:55:27+01","2022-02-08 14:27:00+01",NULL,NULL,NULL
7516,473,3,"4","261449-06","2019-07-02 13:57:17+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
40014,473,3,"4","276906-10","2021-02-03 12:55:27+01","2022-02-08 14:27:01+01",NULL,NULL,NULL
7520,473,3,"5","261551-04","2019-07-02 13:57:15+02","2020-06-17 14:10:01+02",NULL,NULL,NULL
7499,473,3,"5","274669-01","2020-06-17 14:10:01+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
40013,473,3,"5","277743-09","2021-02-03 12:55:27+01","2022-02-08 14:27:03+01",NULL,NULL,NULL
7519,473,3,"6","261863-08","2019-07-02 13:57:15+02","2020-06-17 14:09:35+02",NULL,NULL,NULL
7501,473,3,"6","274796-01","2020-06-17 14:09:35+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
40012,473,3,"6","277745-05","2021-02-03 12:55:27+01","2022-02-08 14:26:55+01",NULL,NULL,NULL
7518,473,3,"7","261630-10","2019-07-02 13:57:15+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
40011,473,3,"7","278775-10","2021-02-03 12:55:27+01","2022-02-08 14:26:58+01",NULL,NULL,NULL
7510,473,4,"1","245294-09","2019-12-03 22:53:08+01","2020-02-19 14:19:42+01",NULL,NULL,NULL
7508,473,4,"1","271278-02","2020-02-19 14:19:42+01","2020-03-28 06:43:01+01",NULL,NULL,NULL
165,533,4,"2","272528-03","2020-03-02 11:16:48+01","2021-09-20 10:07:38+02",NULL,NULL,NULL
173,533,5,"0","270076-04","2019-10-21 06:10:47+02","2021-08-04 14:36:30+02",NULL,NULL,NULL
171,533,5,"1","269752-09","2019-10-21 06:10:52+02","2021-08-04 14:27:33+02",NULL,NULL,NULL
170,533,5,"2","269725-05","2019-10-21 06:10:52+02","2021-08-04 14:36:21+02",NULL,NULL,NULL
166,533,5,"3","269946-06","2019-10-21 06:11:26+02","2021-08-04 14:27:00+02",NULL,NULL,NULL
172,533,5,"4","269753-04","2019-10-21 06:10:47+02","2021-08-04 14:27:00+02",NULL,NULL,NULL
169,533,5,"5","269923-09","2019-10-21 06:10:52+02","2021-08-04 14:28:35+02",NULL,NULL,NULL
168,533,5,"6","270076-03","2019-10-21 06:10:52+02","2021-08-04 14:27:10+02",NULL,NULL,NULL
167,533,5,"7","269710-08","2019-10-21 06:11:13+02","2021-08-04 14:36:30+02",NULL,NULL,NULL
5655,545,0,"2","261422-02","2019-06-19 15:45:45+02","2021-01-17 09:49:11+01",NULL,NULL,NULL
5626,545,0,"3","262422-02","2019-12-13 19:40:52+01","2020-05-01 22:23:57+02",NULL,NULL,NULL
5664,545,0,"5","261383-08","2019-06-19 15:43:53+02","2019-09-28 08:05:02+02",NULL,NULL,NULL
5602,545,1,"1","260878-05","2020-05-17 21:26:22+02","2020-09-12 08:34:54+02",NULL,NULL,NULL
5596,545,1,"3","261212-01","2020-06-27 22:47:07+02","2021-03-03 19:17:49+01",NULL,NULL,NULL
5650,545,2,"1","260795-06","2019-06-19 15:49:01+02","2020-05-02 06:20:58+02",NULL,NULL,NULL
54561,545,2,"6","261311-06","2021-04-19 06:18:00+02","2021-11-13 08:39:39+01",NULL,NULL,NULL
5652,545,2,"7","261447-06","2019-06-19 15:48:57+02","2019-10-30 17:24:03+01",NULL,NULL,NULL
5631,545,2,"7","264082-05","2019-10-30 17:24:03+01","2020-06-07 02:05:11+02",NULL,NULL,NULL
42900,545,2,"7","280470-02","2021-03-03 19:24:24+01","2021-08-21 18:09:16+02",NULL,NULL,NULL
5643,545,3,"0","262403-08","2019-06-20 14:49:18+02","2020-01-12 10:35:46+01",NULL,NULL,NULL
5615,545,3,"0","263625-05","2020-01-12 10:35:46+01","2020-03-04 10:20:26+01",NULL,NULL,NULL
5611,545,3,"0","271841-01","2020-03-04 10:20:26+01","2020-11-25 10:15:27+01",NULL,NULL,NULL
32859,545,3,"0","278769-02","2020-11-25 10:15:27+01","2021-02-28 08:53:51+01",NULL,NULL,NULL
42899,545,3,"0","280033-09","2021-03-03 19:24:27+01","2021-08-24 17:49:45+02",NULL,NULL,NULL
84100,545,3,"0","277220-04","2021-08-24 17:49:45+02","2022-03-05 20:42:03+01",NULL,NULL,NULL
5641,545,3,"1","261381-02","2019-06-20 14:49:20+02","2019-12-30 21:58:41+01",NULL,NULL,NULL
5622,545,3,"1","269725-08","2019-12-30 21:58:41+01","2020-07-08 14:46:37+02",NULL,NULL,NULL
5594,545,3,"1","272681-04","2020-07-08 14:46:37+02","2020-12-04 18:23:04+01",NULL,NULL,NULL
35321,545,3,"1","278143-06","2020-12-04 18:23:04+01","2021-03-17 14:02:01+01",NULL,NULL,NULL
44349,545,3,"1","278734-02","2021-03-17 15:33:47+01","2022-03-08 10:46:20+01",NULL,NULL,NULL
5632,545,3,"2","262394-09","2019-10-30 15:55:27+01","2020-07-08 15:18:36+02",NULL,NULL,NULL
35320,545,3,"2","278879-08","2020-12-04 18:23:04+01","2022-01-31 15:56:57+01",NULL,NULL,NULL
