"id","printer_id","color","head","slot_serial","installed_datetime","replaced_datetime","remounted_datetime","remounted_color","remounted_head"
7530,473,1,"1","261585-02","2019-04-09 09:46:18+02","2020-10-21 16:07:44+02",NULL,NULL,NULL
7525,473,1,"6","261344-04","2019-04-09 09:46:18+02","2020-09-09 14:31:09+02",NULL,NULL,NULL
7517,473,3,"0","261654-10","2019-07-02 13:57:17+02","2020-06-18 09:35:09+02",NULL,NULL,NULL
7498,473,3,"0","272670-02","2020-06-18 09:35:09+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
7523,473,3,"1","261367-09","2019-07-02 13:57:15+02","2020-06-17 14:10:01+02",NULL,NULL,NULL
7500,473,3,"1","273174-04","2020-06-17 14:10:01+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
7522,473,3,"2","261983-08","2019-07-02 13:57:15+02","2020-06-17 14:09:35+02",NULL,NULL,NULL
7502,473,3,"2","273475-02","2020-06-17 14:09:35+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
7521,473,3,"3","260864-03","2019-07-02 13:57:15+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
7516,473,3,"4","261449-06","2019-07-02 13:57:17+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
7520,473,3,"5","261551-04","2019-07-02 13:57:15+02","2020-06-17 14:10:01+02",NULL,NULL,NULL
7499,473,3,"5","274669-01","2020-06-17 14:10:01+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
7519,473,3,"6","261863-08","2019-07-02 13:57:15+02","2020-06-17 14:09:35+02",NULL,NULL,NULL
7501,473,3,"6","274796-01","2020-06-17 14:09:35+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
7518,473,3,"7","261630-10","2019-07-02 13:57:15+02","2021-02-03 12:55:27+01",NULL,NULL,NULL
7510,473,4,"1","245294-09","2019-12-03 22:53:08+01","2020-02-19 14:19:42+01",NULL,NULL,NULL
7508,473,4,"1","271278-02","2020-02-19 14:19:42+01","2020-03-28 06:43:01+01",NULL,NULL,NULL
5655,545,0,"2","261422-02","2019-06-19 15:45:45+02","2021-01-17 09:49:11+01",NULL,NULL,NULL
