,RUL,machine_status
0,112,NORMAL
1,98,RECOVERING
2,69,RECOVERING
3,82,RECOVERING
4,91,RECOVERING
5,93,RECOVERING
6,91,RECOVERING
7,95,RECOVERING
8,111,NORMAL
9,96,RECOVERING
10,97,RECOVERING
11,124,NORMAL
12,95,RECOVERING
13,107,RECOVERING
14,83,RECOVERING
15,84,RECOVERING
16,50,RECOVERING
17,28,BROKEN
18,87,RECOVERING
19,16,BROKEN
20,57,RECOVERING
21,111,NORMAL
22,113,NORMAL
23,20,BROKEN
24,145,NORMAL
25,119,NORMAL
26,66,RECOVERING
27,97,RECOVERING
28,90,RECOVERING
29,115,NORMAL
30,8,BROKEN
31,48,RECOVERING
32,106,RECOVERING
33,7,BROKEN
34,11,BROKEN
35,19,BROKEN
36,21,BROKEN
37,50,RECOVERING
38,142,NORMAL
39,28,BROKEN
40,18,BROKEN
41,10,BROKEN
42,59,RECOVERING
43,109,RECOVERING
44,114,NORMAL
45,47,RECOVERING
46,135,NORMAL
47,92,RECOVERING
48,21,BROKEN
49,79,RECOVERING
50,114,NORMAL
51,29,BROKEN
52,26,BROKEN
53,97,RECOVERING
54,137,NORMAL
55,15,BROKEN
56,103,RECOVERING
57,37,RECOVERING
58,114,NORMAL
59,100,RECOVERING
60,21,BROKEN
61,54,RECOVERING
62,72,RECOVERING
63,28,BROKEN
64,128,NORMAL
65,14,BROKEN
66,77,RECOVERING
67,8,BROKEN
68,121,NORMAL
69,94,RECOVERING
70,118,NORMAL
71,50,RECOVERING
72,131,NORMAL
73,126,NORMAL
74,113,NORMAL
75,10,BROKEN
76,34,RECOVERING
77,107,RECOVERING
78,63,RECOVERING
79,90,RECOVERING
80,8,BROKEN
81,9,BROKEN
82,137,NORMAL
83,58,RECOVERING
84,118,NORMAL
85,89,RECOVERING
86,116,NORMAL
87,115,NORMAL
88,136,NORMAL
89,28,BROKEN
90,38,RECOVERING
91,20,BROKEN
92,85,RECOVERING
93,55,RECOVERING
94,128,NORMAL
95,137,NORMAL
96,82,RECOVERING
97,59,RECOVERING
98,117,NORMAL
99,20,BROKEN
